Date : 2024-04-12 22:41:23
Directory : d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend
Total : 81 files,  42966 codes, 492 comments, 2387 blanks, all 45845 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\views\article                                                                                                |          2 |        447 |         13 |         53 |        513 |
| src\views\commpany                                                                                               |          1 |        164 |          0 |         16 |        180 |
| src\views\cropinfo                                                                                               |          5 |      8,040 |         80 |        507 |      8,627 |
| src\views\grow                                                                                                   |          2 |        567 |          6 |         25 |        598 |
| src\views\homepage                                                                                               |          1 |      2,125 |         13 |        142 |      2,280 |
| src\views\landandsoil                                                                                            |          4 |      2,589 |         21 |        221 |      2,831 |
| src\views\recommend                                                                                              |          6 |      3,608 |         63 |        224 |      3,895 |
| src\views\user                                                                                                   |          5 |      2,377 |         25 |        162 |      2,564 |
| src\views\weather                                                                                                |          3 |      5,797 |         33 |        314 |      6,144 |
| src\views\weatherinfo                                                                                            |          2 |          0 |          0 |          2 |          2 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\README.md                                     | Markdown           |         18 |          0 |         12 |         30 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\index.html                                    | HTML               |         20 |          0 |          1 |         21 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\jsconfig.json                                 | JSON with Comments |          8 |          0 |          1 |          9 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\package-lock.json                             | JSON               |      9,138 |          0 |          1 |      9,139 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\package.json                                  | JSON               |         41 |          0 |          1 |         42 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\App.vue                                   | vue                |          7 |          0 |          5 |         12 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\admin\User.vue                            | vue                |        972 |          9 |         82 |      1,063 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\area.js                               | JavaScript         |         14 |          6 |          5 |         25 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\argomanage.js                         | JavaScript         |        118 |          9 |          3 |        130 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\bmap.js                               | JavaScript         |         20 |          4 |          2 |         26 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\cropcategory.js                       | JavaScript         |        124 |         41 |         18 |        183 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\grow.js                               | JavaScript         |          7 |          0 |          2 |          9 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\homepage.js                           | JavaScript         |         27 |          0 |          2 |         29 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\recommend.js                          | JavaScript         |         50 |          1 |          8 |         59 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\soilcrop.js                           | JavaScript         |         27 |          1 |          4 |         32 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\user.js                               | JavaScript         |         97 |         28 |         14 |        139 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\api\weather.js                            | JavaScript         |         23 |          5 |          6 |         34 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\assets\base.css                           | CSS                |         71 |          2 |         14 |         87 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\assets\logo.svg                           | XML                |          1 |          0 |          1 |          2 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\assets\main.css                           | CSS                |         30 |          0 |          6 |         36 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\assets\main.scss                          | SCSS               |         16 |          1 |          3 |         20 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\components\ArcGisMap.vue                  | vue                |         30 |          0 |          4 |         34 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\components\Dialog\Mydialog.vue            | vue                |         87 |          0 |         11 |         98 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\components\HelloWorld.vue                 | vue                |         39 |          0 |          6 |         45 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\components\TheWelcome.vue                 | vue                |         76 |          0 |         13 |         89 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\components\WelcomeItem.vue                | vue                |         76 |          0 |         12 |         88 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\components\icons\IconCommunity.vue        | vue                |          7 |          0 |          1 |          8 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\components\icons\IconDocumentation.vue    | vue                |          7 |          0 |          1 |          8 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\components\icons\IconEcosystem.vue        | vue                |          7 |          0 |          1 |          8 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\components\icons\IconSupport.vue          | vue                |          7 |          0 |          1 |          8 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\components\icons\IconTooling.vue          | vue                |         18 |          1 |          1 |         20 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\main.js                                   | JavaScript         |         34 |         11 |          1 |         46 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\mock\index.js                             | JavaScript         |          9 |          0 |          2 |         11 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\mock\mocklogin.js                         | JavaScript         |         13 |          1 |          2 |         16 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\router\index.js                           | JavaScript         |         74 |          7 |          6 |         87 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\stores\elMenuActiveStore.js               | JavaScript         |          6 |          0 |          3 |          9 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\stores\location.js                        | JavaScript         |         16 |          7 |          6 |         29 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\stores\recommendcrops.js                  | JavaScript         |         12 |          1 |          8 |         21 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\stores\token.js                           | JavaScript         |         16 |         11 |          4 |         31 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\stores\userInfo.js                        | JavaScript         |         16 |          1 |          9 |         26 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\utils\china.js                            | JavaScript         |         60 |          3 |          2 |         65 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\utils\exportExcel.js                      | JavaScript         |         12 |          6 |          3 |         21 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\utils\request.js                          | JavaScript         |         38 |         17 |         13 |         68 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\Layout.vue                          | vue                |        568 |         24 |         54 |        646 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\LayoutAdmin.vue                     | vue                |        445 |          2 |         46 |        493 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\Login.vue                           | vue                |        562 |         10 |         31 |        603 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\argomanagement\CropCalendar.vue     | vue                |      2,097 |         14 |        140 |      2,251 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\argomanagement\RecommendArgo.vue    | vue                |      2,049 |         14 |        140 |      2,203 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\article\ArticleCategory.vue         | vue                |        172 |          1 |         18 |        191 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\article\ArticleManage.vue           | vue                |        275 |         12 |         35 |        322 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\commpany\Commpany.vue               | vue                |        164 |          0 |         16 |        180 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\Cropcategory.vue           | vue                |        972 |          9 |         82 |      1,063 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\Cropcategorychild.vue      | vue                |        950 |          9 |         80 |      1,039 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\Cropparam.vue              | vue                |      5,210 |         53 |        286 |      5,549 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\TreeInfo.vue               | vue                |        908 |          9 |         58 |        975 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\cropinfo\temp.vue                   | vue                |          0 |          0 |          1 |          1 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\grow\ModelData.vue                  | vue                |        512 |          6 |         24 |        542 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\grow\Realdata.vue                   | vue                |         55 |          0 |          1 |         56 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\homepage\Homepage.vue               | vue                |      2,125 |         13 |        142 |      2,280 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\landandsoil\Landmanage copy.vue     | vue                |        138 |          0 |          8 |        146 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\landandsoil\Landmanage.vue          | vue                |      1,126 |         11 |        102 |      1,239 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\landandsoil\Soiltype.vue            | vue                |        647 |          5 |         55 |        707 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\landandsoil\Soiltype1.vue           | vue                |        678 |          5 |         56 |        739 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\recommend\GrowingState.vue          | vue                |        463 |          0 |         17 |        480 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\recommend\Recommend.vue             | vue                |      1,471 |         41 |         82 |      1,594 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\recommend\RecommendCost.vue         | vue                |        267 |          0 |         14 |        281 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\recommend\RecommendIndex.vue        | vue                |        777 |         11 |         63 |        851 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\recommend\RecommendModelHistory.vue | vue                |        559 |         11 |         44 |        614 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\recommend\RecommendProject.vue      | vue                |         71 |          0 |          4 |         75 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\user\Account.vue                    | vue                |        596 |          2 |         46 |        644 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\user\History.vue                    | vue                |        725 |         17 |         64 |        806 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\user\Password.vue                   | vue                |        130 |          1 |          7 |        138 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\user\Profile.vue                    | vue                |        299 |          2 |         12 |        313 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\user\Verifyinfo.vue                 | vue                |        627 |          3 |         33 |        663 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\weather\Historydata.vue             | vue                |      1,059 |          6 |         75 |      1,140 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\weather\Realtimedata.vue            | vue                |      3,694 |          6 |        236 |      3,936 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\weather\tempp.vue                   | vue                |      1,044 |         21 |          3 |      1,068 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\weatherinfo\Weatherlive.vue         | vue                |          0 |          0 |          1 |          1 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\src\views\weatherinfo\Weatherpre.vue          | vue                |          0 |          0 |          1 |          1 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\vite.config.js                                | JavaScript         |         29 |          1 |          6 |         36 |
| d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend\vue.config.js                                 | JavaScript         |         13 |          0 |          3 |         16 |
| Total                                                                                                            |                    |     42,966 |        492 |      2,387 |     45,845 |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
