Date : 2024-04-12 22:41:23
Directory : d:\importantFiles\Graduation Design 2024\vueproject\crop-recommend
Total : 81 files,  42966 codes, 492 comments, 2387 blanks, all 45845 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |         48 |     32,768 |        328 |      2,215 |     35,311 |
| JSON               |          2 |      9,179 |          0 |          2 |      9,181 |
| JavaScript         |         24 |        855 |        161 |        132 |      1,148 |
| CSS                |          2 |        101 |          2 |         20 |        123 |
| HTML               |          1 |         20 |          0 |          1 |         21 |
| Markdown           |          1 |         18 |          0 |         12 |         30 |
| SCSS               |          1 |         16 |          1 |          3 |         20 |
| JSON with Comments |          1 |          8 |          0 |          1 |          9 |
| XML                |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         81 |     42,966 |        492 |      2,387 |     45,845 |
| . (Files)                                                                                                        |          7 |      9,267 |          1 |         25 |      9,293 |
| src                                                                                                              |         74 |     33,699 |        491 |      2,362 |     36,552 |
| src (Files)                                                                                                      |          2 |         41 |         11 |          6 |         58 |
| src\admin                                                                                                        |          1 |        972 |          9 |         82 |      1,063 |
| src\api                                                                                                          |         10 |        507 |         95 |         64 |        666 |
| src\assets                                                                                                       |          4 |        118 |          3 |         24 |        145 |
| src\components                                                                                                   |         10 |        354 |          1 |         51 |        406 |
| src\components (Files)                                                                                           |          4 |        221 |          0 |         35 |        256 |
| src\components\Dialog                                                                                            |          1 |         87 |          0 |         11 |         98 |
| src\components\icons                                                                                             |          5 |         46 |          1 |          5 |         52 |
| src\mock                                                                                                         |          2 |         22 |          1 |          4 |         27 |
| src\router                                                                                                       |          1 |         74 |          7 |          6 |         87 |
| src\stores                                                                                                       |          5 |         66 |         20 |         30 |        116 |
| src\utils                                                                                                        |          3 |        110 |         26 |         18 |        154 |
| src\views                                                                                                        |         36 |     31,435 |        318 |      2,077 |     33,830 |
| src\views (Files)                                                                                                |          3 |      1,575 |         36 |        131 |      1,742 |
| src\views\argomanagement                                                                                         |          2 |      4,146 |         28 |        280 |      4,454 |
